cleaned_tweet,true_label,predicted_label,true_label_name,predicted_label_name
i am shocked a moslem planning a terror attack,0,2,hate_speech,neither
user global patience my foot where was global patience when number lakhs kashmiri hindus murdered raped and driven away from their homes by jihadis where was global patience when stones were pelted by pak proxies and jawans murdered by paki terrorists everyday,1,2,offensive_language,neither
user btw try walking driving or even flying across a us military base not even illegal aliens would get thru,1,2,offensive_language,neither
obama is allowing millions of illegal aliens drug cartels and terrorists to enter our open borders liberal retards,1,0,offensive_language,hate_speech
and i don't have any confidence nonwhatsoever in you barack you're the sole reason why this country is in thi,2,0,neither,hate_speech
but black women are humans lmao,1,2,offensive_language,neither
all of these rednecks and none of them can keep the fire lit,0,1,hate_speech,offensive_language
cowardly actions by the pussy brits men let their women be gangraped by moslim animals should change countrys name to cuckland,0,1,hate_speech,offensive_language
i am starting to think trump is our hitler and if you actually know what i mean when i say that you are smart if you think im saying he literally hitler you are retarded and cant make out what i am saying,1,2,offensive_language,neither
i agree with you some tsa agents are moslem and look more suspicious than the people they are groping israeli security profile arabs to the nth degree,1,0,offensive_language,hate_speech
every beaner now claims to be an american indian so you never know,0,2,hate_speech,neither
insidious evil of the united nations and sharia dems replacement migration plan genocide america aborted number million babies so replace them with mussie barbarians illegals these babies are real humans not just blobs of tissue a garbage bag at planned parenthood ready for selling parts,1,0,offensive_language,hate_speech
if my momma okay with wtf i do mind yo business bitch,2,1,neither,offensive_language
i just said that my tl gotta chill with this pretty face challenge foolishness y'all hoes agg,0,1,hate_speech,offensive_language
user just told me he gained so much weight lately because of all of the nigger cum he been swallowing tmi vox i replied,1,0,offensive_language,hate_speech
cause lsu trash why they doin the college playoff ranking shit so early,1,2,offensive_language,neither
cristina laila retweeted jake tapper i guess all of obama ghetto rap star friends are better you know the guys who rap about raping pimping women selling drugs fakenews jake tapper potus invited sarahpalinusa to dinner and told her to bring some friends,1,2,offensive_language,neither
lol i lost i cant come up with a better insult than faggot,0,1,hate_speech,offensive_language
you know what i like to do when i come to california get raped by the gas prices,2,0,neither,hate_speech
wtf why is muslim twitter a thing,2,1,neither,offensive_language
i wonder what the faggot user has been up to in norway,1,0,offensive_language,hate_speech
this nigger is obsessed with me,1,0,offensive_language,hate_speech
i bet overtly was invented by jews,2,0,neither,hate_speech
they trash though,1,2,offensive_language,neither
not about to shoot this pussy ima beat his face into the asphalt t,0,1,hate_speech,offensive_language
flappy bird makes me want to smash my fuckin screen,1,2,offensive_language,neither
bitch fuck yo nigga what's up with that pussy,0,1,hate_speech,offensive_language
the picture on the left is the audience at the bataclan theatre paris just before muslims murdered raped mutilated them hope it happens to this stupid bitch,0,1,hate_speech,offensive_language
wrong for not throwing the arabs out earlier like number and take har habayit fully no one would have blinked israel here to stay,1,2,offensive_language,neither
real shit girls be insecure and wanna look good not for niggas but either themselves or other females girls be unreal and just mean,2,1,neither,offensive_language
it is awful to know that when innocent muslims are targeted in india nobody cares as if muslims r not human payback1971,1,2,offensive_language,neither
the liberal race baiter politicians use the slavery narrative to keep blacks downtrodden on their urban ghetto plantations jim quinn,1,0,offensive_language,hate_speech
those my v necks now ho,1,2,offensive_language,neither
user these guys are like what if mad magazine spy vs spy were slow adult nazis,1,2,offensive_language,neither
chris bosh bout to disgrace the trophy like a real faggot smh,0,1,hate_speech,offensive_language
cyborg it not that i am a fucking porch monkey but the fact that i am one fourth toaster one fourth lg smart fridge and part gamecube,0,2,hate_speech,neither
so yesterday i ran into a dude i went to high school with he used to be skinny as hell now omg same fucker who slit my tires years ago,1,2,offensive_language,neither
fuck you tony you greaseball piece of shit,1,0,offensive_language,hate_speech
